r_10 TRUE urbanlegends [152, 72, 29, 26, 25, 14, 19, 13, 16, 12, 11, 6, 14, 7, 3, 7, 4, 2, 6, 5, 2, 2, 6, 4]
r_104 TRUE urbanlegends [10, 3, 0, 0, 0, 0, 0, 0, 0, 6, 5, 2, 4, 3, 3, 1, 0, 0, 0, 1, 0, 1, 0, 3]
r_111 TRUE urbanlegends [249, 69, 28, 33, 11, 18, 10, 9, 10, 5, 1, 2, 3, 4, 4, 1, 2, 1, 2, 0, 70, 33, 8, 16]
r_112 TRUE urbanlegends [47, 10, 15, 8, 6, 2, 0, 0, 1, 1, 2, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
r_12 TRUE urbanlegends [146, 57, 32, 224, 122, 70, 65, 76, 43, 42, 34, 14, 19, 29, 11, 9, 8, 2, 5, 3, 3, 6, 6, 14]
r_18 TRUE urbanlegends [22, 8, 7, 2, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_2018 TRUE urbanlegends [18, 7, 14, 9, 26, 60, 61, 70, 14, 7, 9, 4, 2, 3, 22, 13, 15, 7, 5, 7, 9, 2, 1, 8]
r_2022 TRUE urbanlegends [337, 101, 52, 64, 34, 35, 24, 14, 17, 16, 6, 2, 10, 5, 2, 8, 30, 13, 22, 17, 17, 22, 21, 9]
r_2031 TRUE urbanlegends [9, 2, 0, 0, 2, 0, 6, 8, 16, 26, 36, 20, 9, 13, 18, 42, 48, 17, 27, 11, 11, 11, 10, 5]
r_2039 TRUE urbanlegends [416, 98, 74, 36, 32, 34, 14, 7, 12, 4, 1, 4, 3, 1, 1, 1, 1, 3, 2, 0, 1, 1, 1, 1]
r_2041 TRUE urbanlegends [293, 52, 54, 39, 39, 18, 15, 22, 21, 18, 15, 5, 11, 8, 6, 4, 4, 1, 7, 4, 1, 7, 1, 0]
r_2042 TRUE urbanlegends [67, 31, 19, 6, 8, 4, 1, 4, 8, 39, 13, 4, 3, 6, 2, 2, 2, 4, 2, 2, 4, 17, 20, 15]
r_2046 TRUE urbanlegends [198, 116, 48, 28, 10, 40, 19, 19, 14, 24, 16, 9, 10, 5, 6, 9, 3, 6, 0, 2, 6, 2, 3, 1]
r_2077 TRUE urbanlegends [16, 5, 14, 17, 9, 3, 23, 33, 30, 11, 11, 90, 45, 24, 15, 6, 4, 1, 2, 2, 1, 3, 0, 2]
r_2079 TRUE urbanlegends [72, 26, 11, 15, 3, 5, 5, 5, 1, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
r_2096 TRUE urbanlegends [246, 23, 14, 14, 8, 4, 5, 2, 5, 1, 1, 1, 3, 1, 2, 3, 0, 2, 2, 2, 3, 1, 0, 0]
r_2115 TRUE urbanlegends [60, 12, 10, 7, 3, 3, 11, 1, 2, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 14, 12]
r_2117 TRUE urbanlegends [57, 15, 7, 0, 2, 5, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]
r_2118 TRUE urbanlegends [50, 30, 13, 11, 5, 2, 1, 4, 1, 2, 1, 1, 2, 3, 0, 3, 5, 1, 3, 2, 1, 4, 2, 2]
r_2119 TRUE urbanlegends [40, 2, 4, 1, 3, 4, 52, 39, 9, 4, 31, 32, 6, 3, 4, 0, 0, 1, 0, 1, 0, 1, 1, 0]
r_2123 TRUE urbanlegends [80, 24, 14, 14, 9, 6, 4, 7, 6, 3, 1, 4, 7, 4, 3, 0, 0, 0, 0, 0, 4, 0, 2, 0]
r_2126 TRUE urbanlegends [7, 51, 17, 11, 1, 2, 1, 2, 0, 1, 1, 1, 0, 2, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0]
r_2139 TRUE urbanlegends [107, 14, 3, 2, 3, 2, 1, 0, 2, 2, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 24, 8, 0, 0]
r_2160 TRUE urbanlegends [111, 8, 6, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
r_2167 TRUE urbanlegends [28, 7, 5, 4, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
r_2168 TRUE urbanlegends [4, 3, 0, 4, 1, 1, 25, 13, 6, 10, 12, 4, 18, 3, 2, 0, 1, 0, 0, 0, 1, 3, 0, 1]
r_2205 TRUE urbanlegends [37, 10, 5, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]
r_2206 TRUE urbanlegends [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_2209 TRUE urbanlegends [31, 14, 12, 2, 4, 0, 3, 0, 0, 0, 2, 0, 2, 0, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0]
r_2217 TRUE urbanlegends [31, 7, 11, 2, 2, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_2218 TRUE urbanlegends [18, 1, 7, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_2228 TRUE urbanlegends [20, 9, 3, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
r_2235 TRUE urbanlegends [2, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 2, 1]
r_2236 TRUE urbanlegends [25, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_2256 TRUE urbanlegends [10, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
